经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京平谷首城汇景湾,29,首城汇景湾,平谷,310,22492,3室2厅1厨2卫,中楼层 (共10层),137.83,平层,110.78,暂无数据,南 北 西,钢混结构,其他,一梯两户,集中供暖,有,70年,2019/11/29,商品房,2017/10/17,普通住宅,满两年,非共有,暂无数据,已上传房本照片
北京西城白纸坊东街25号院,30,白纸坊东街25号院,西城,570,98770,2室1厅1厨1卫,顶层 (共6层),57.71,平层,40.86,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,2019/3/24,央产房,2005/8/31,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台万年花城四期,31,万年花城四期,丰台,340,69092,1室1厅1厨1卫,中楼层 (共27层),49.21,平层,40.39,塔楼,东,钢混结构,简装,三梯十户,集中供暖,有,70年,2019/7/24,商品房,2010/1/13,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京顺义阿凯笛亚庄园,32,阿凯笛亚庄园,顺义,1000,44042,4室2厅1厨3卫,高楼层 (共7层),227.06,平层,198.97,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,有,70年,2019/7/31,商品房,2010/8/5,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山远洋山水,33,远洋山水,石景山,600,52233,2室2厅1厨2卫,底层 (共20层),114.87,平层,95.28,板塔结合,西,钢混结构,简装,两梯五户,集中供暖,有,70年,2019/10/29,商品房,2010/11/4,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳利泽西园,34,利泽西园,朝阳,670,62629,3室1厅1厨1卫,中楼层 (共24层),106.98,平层,84.42,塔楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,2019/11/22,商品房,2007/11/2,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山长阳半岛怡和南路10号院,35,长阳半岛怡和南路10号院,房山,475,45890,3室1厅1厨1卫,中楼层 (共9层),103.51,平层,81.18,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2018/7/17,商品房,2017/1/11,普通住宅,满两年,共有,有抵押 90万元 工商银行 业主自还,已上传房本照片
北京通州龙湖花盛香醍,36,龙湖花盛香醍,通州,1540,68837,4室2厅1厨3卫,中楼层 (共9层),223.72,平层,198.56,板楼,南,钢混结构,精装,一梯两户,集中供暖,有,70年,2019/3/17,商品房,2011/3/15,普通住宅,满五年,非共有,有抵押 200万元 中信银行 客户偿还,已上传房本照片
北京昌平融泽嘉园,37,融泽嘉园,昌平,580,50492,3室1厅1厨1卫,低楼层 (共31层),114.87,平层,83.81,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,2018/8/25,二类经济适用房,2017/5/17,普通住宅,满两年,非共有,有抵押 60万元 公积金尾款 客户偿还,已上传房本照片
北京顺义香悦四季,38,香悦四季,顺义,528,55574,3室2厅1厨2卫,底层 (共9层),95.01,平层,75.96,板楼,南,钢混结构,其他,一梯三户,集中供暖,有,70年,2019/11/14,商品房,2017/2/21,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京石景山远洋山水,39,远洋山水,石景山,665,66091,2室2厅1厨1卫,低楼层 (共26层),100.62,平层,80.48,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,2018/8/12,商品房,2015/8/4,普通住宅,满两年,共有,有抵押 60万元 公积金 业主自还,已上传房本照片
北京通州水仙园,40,水仙园,通州,415,49488,2室1厅1厨1卫,中楼层 (共6层),83.86,平层,75.45,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018/9/2,私产,2005/9/28,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京通州阿尔法社区二期,41,阿尔法社区二期,通州,470,44203,3室1厅1厨2卫,高楼层 (共6层),106.33,平层,94.46,板楼,南 北,混合结构,其他,一梯两户,自供暖,无,70年,2019/6/30,商品房,2015/5/6,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京昌平金科天玺,42,金科天玺,昌平,850,44336,3室2厅1厨3卫,底层 (共2层),191.72,跃层,182.39,暂无数据,南 北,钢混结构,其他,一梯一户,暂无数据,暂无数据,70年,2019/11/15,商品房,2016/3/9,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京顺义中建国际城,43,中建国际城,顺义,350,44740,2室1厅1厨1卫,顶层 (共15层),78.23,平层,62.82,板楼,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,2019/3/11,商品房,2016/10/24,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京顺义港馨家园福景苑,44,港馨家园福景苑,顺义,465,32798,3室1厅1厨2卫,高楼层 (共18层),141.78,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2019/8/7,商品房,2015/10/16,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京顺义东方太阳城,45,东方太阳城,顺义,490,38068,3室2厅1厨2卫,底层 (共4层),128.72,平层,112.86,板楼,南 北,混合结构,简装,一梯三户,集中供暖,有,70年,2019/3/19,商品房,2019/3/21,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京东城中海紫御公馆,46,中海紫御公馆,东城,970,106337,2室2厅1厨1卫,中楼层 (共19层),91.22,平层,72.35,板塔结合,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,2018/9/20,商品房,2011/3/20,普通住宅,满五年,非共有,有抵押 695万元 担保公司 客户偿还,已上传房本照片
北京丰台博龙家园,47,博龙家园,丰台,300,44353,1室1厅1厨1卫,低楼层 (共19层),67.64,平层,52.34,板塔结合,西,钢混结构,简装,两梯八户,集中供暖,有,70年,2019/11/8,商品房,2009/5/25,普通住宅,满五年,共有,有抵押 210万元 工商银行35万平安普惠175,已上传房本照片
北京东城豆瓣胡同,48,豆瓣胡同,东城,650,135445,1室1厅1厨1卫,低楼层 (共21层),47.99,平层,暂无数据,板楼,东,钢混结构,简装,两梯四户,自供暖,有,70年,2018/4/6,商品房,2013/6/25,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳国风北京,49,国风北京,朝阳,850,79730,2室1厅1厨1卫,中楼层 (共14层),106.61,平层,88.57,板楼,东南,钢混结构,精装,两梯三户,自供暖,有,70年,2019/11/6,商品房,2007/6/28,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳丽舍公寓,50,丽舍公寓,朝阳,570,102169,1室1厅1厨2卫,中楼层 (共13层),55.79,复式,38.98,塔楼,东,钢混结构,简装,两梯十二户,自供暖,有,70年,2019/11/4,商品房,2016/2/5,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京大兴顺驰领海,51,顺驰领海,大兴,480,52887,2室1厅1厨1卫,中楼层 (共9层),90.76,平层,75.61,板塔结合,南,钢混结构,精装,一梯三户,集中供暖,有,70年,2019/6/4,商品房,2011/7/18,普通住宅,满五年,共有,有抵押 60万元 客户偿还,已上传房本照片
