经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京顺义裕龙一区,4647,裕龙一区,顺义,415,48172,2室1厅1厨1卫,底层 (共6层),86.15,平层,59.2,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018/11/30,商品房,2006/3/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀车公庄西路甲7号院,4648,车公庄西路甲7号院,海淀,530,91380,2室1厅1厨1卫,顶层 (共6层),58,平层,40,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,2018/7/13,已购公房,1998/4/15,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台新华街三里,4649,新华街三里,丰台,345,52834,2室1厅1厨1卫,低楼层 (共24层),65.3,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,2019/3/19,商品房,2011/4/22,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳翠成馨园,4650,翠成馨园,朝阳,475,46583,2室1厅1厨1卫,高楼层 (共14层),101.97,平层,82,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019/10/13,一类经济适用房,2009/2/9,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山地震局宿舍,4651,地震局宿舍,石景山,380,51014,2室1厅1厨1卫,顶层 (共6层),74.49,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/6/20,已购公房,2009/9/1,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳望京西园三区,4652,望京西园三区,朝阳,519,62994,1室1厅1厨1卫,中楼层 (共28层),82.39,平层,66.6,塔楼,东南,钢混结构,简装,三梯八户,自供暖,有,70年,2019/3/17,商品房,2016/11/15,普通住宅,满两年,非共有,有抵押 110万元 银行,已上传房本照片
北京丰台丰卉家园,4653,丰卉家园,丰台,600,51406,3室1厅1厨1卫,高楼层 (共6层),116.72,平层,103.93,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2018/3/7,商品房,2017/5/24,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京顺义中粮祥云国际生活区,4654,中粮祥云国际生活区,顺义,1659,54209,4室2厅1厨3卫,中楼层 (共15层),306.04,平层,261.33,板楼,南 东 北,钢混结构,精装,两梯两户,自供暖,有,70年,2019/7/20,商品房,2017/1/23,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京西城阜成门外大街,4655,阜成门外大街,西城,710,115448,2室1厅1厨1卫,顶层 (共6层),61.5,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,2019/5/17,商品房,2015/8/21,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京海淀卫生部小区,4656,卫生部小区,海淀,585,94295,2室1厅1厨1卫,高楼层 (共16层),62.04,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,2019/5/23,已购公房,2002/8/8,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城朗琴园,4657,朗琴园,西城,1880,105329,4室2厅1厨3卫,高楼层 (共16层),178.49,平层,149.13,板楼,东 南 西,钢混结构,精装,一梯三户,自供暖,有,70年,2019/8/16,商品房,2005/7/14,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山古城北路,4658,古城北路,石景山,334,42279,3室1厅1厨1卫,中楼层 (共6层),79,平层,暂无数据,板楼,东 南 西,混合结构,简装,一梯三户,集中供暖,无,70年,2019/5/22,已购公房,2009/4/22,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀东南小区,4659,东南小区,海淀,1060,130062,3室1厅1厨1卫,中楼层 (共5层),81.5,平层,56.4,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,2019/11/9,央产房,2000/2/14,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山加州水郡三期,4660,加州水郡三期,房山,216,37730,1室1厅1厨1卫,中楼层 (共14层),57.25,平层,45.4,板塔结合,西北,钢混结构,精装,两梯四户,自供暖,有,70年,2019/8/10,商品房,2017/4/24,普通住宅,满两年,非共有,有抵押 101万元 金融公司垫资,已上传房本照片
北京顺义万科城市花园,4661,万科城市花园,顺义,430,42821,2室1厅1厨1卫,底层 (共5层),100.42,复式,暂无数据,板楼,南 北,混合结构,简装,一梯一户,集中供暖,无,70年,2019/4/1,商品房,2006/7/12,普通住宅,满五年,非共有,有抵押 300万元 中信银行91万，贷款机构210万 金融公司垫资,已上传房本照片
北京朝阳红玺台,4662,红玺台,朝阳,2220,137368,3室2厅1厨2卫,高楼层 (共25层),161.61,平层,128.02,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,2019/5/18,商品房,2012/4/16,普通住宅,满五年,非共有,有抵押 1550万元 银行 业主自还,已上传房本照片
北京房山首开熙悦山熹园1号院,4663,首开熙悦山熹园1号院,房山,420,43425,3室2厅1厨2卫,顶层 (共9层),96.72,平层,80.07,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2018/7/14,商品房,2015/5/14,普通住宅,满两年,非共有,有抵押 80万元 建设 业主自还,已上传房本照片
北京朝阳华辉苑,4664,华辉苑,朝阳,680,50326,3室2厅1厨2卫,中楼层 (共22层),135.12,平层,113.42,塔楼,西,钢混结构,精装,两梯八户,集中供暖,有,70年,2019/9/4,商品房,2010/8/10,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳安慧北里小区,4665,安慧北里小区,朝阳,420,66341,2室1厅1厨1卫,顶层 (共6层),63.31,平层,暂无数据,板楼,东 南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,2019/11/11,商品房,2018/7/19,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京海淀明光村小区,4666,明光村小区,海淀,465,83483,2室1厅1厨1卫,底层 (共18层),55.7,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯七户,集中供暖,有,70年,2019/11/15,已购公房,1993/12/15,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城朝阳门南小街,4667,朝阳门南小街,东城,1239,119861,3室1厅1厨1卫,低楼层 (共9层),103.37,平层,103,板楼,东 西,混合结构,精装,一梯四户,自供暖,有,70年,2019/4/7,商品房,2005/4/4,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀定慧东里,4668,定慧东里,海淀,450,75188,2室1厅1厨1卫,中楼层 (共6层),59.85,平层,暂无数据,板楼,南 北,混合结构,简装,一梯五户,集中供暖,无,70年,2019/11/2,已购公房,2000/8/18,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台文体路乙11号院,4669,文体路乙11号院,丰台,590,61440,2室2厅1厨1卫,低楼层 (共18层),96.03,平层,暂无数据,塔楼,西北,钢混结构,其他,两梯九户,集中供暖,有,70年,2018/11/7,商品房,2016/1/25,普通住宅,满两年,非共有,有抵押 150万元 客户偿还,已上传房本照片
北京房山苏园小区,4670,苏园小区,房山,400,30076,3室2厅1厨1卫,底层 (共6层),133,平层,118.31,暂无数据,南 北,混合结构,简装,一梯两户,集中供暖,无,未知,2019/8/3,商品房,2008/2/3,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城新明胡同,4671,新明胡同,西城,830,140678,2室1厅1厨1卫,底层 (共14层),59,平层,44.26,板塔结合,南,钢混结构,精装,三梯七户,集中供暖,有,70年,2019/12/6,已购公房,2006/10/10,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城天缘公寓,4672,天缘公寓,西城,1070,57143,3室2厅1厨2卫,中楼层 (共18层),187.25,平层,143,塔楼,西,钢混结构,简装,两梯十户,集中供暖,有,70年,2018/10/7,商品房,2005/12/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京通州中仓小区,4673,中仓小区,通州,269,41927,2室1厅1厨1卫,中楼层 (共5层),64.16,平层,暂无数据,板楼,北 南,混合结构,简装,一梯两户,集中供暖,无,70年,2019/10/22,已购公房,2018/12/12,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京通州西马庄园,4674,西马庄园,通州,265,32306,2室1厅1厨1卫,顶层 (共6层),82.03,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/6/16,商品房,2015/10/12,普通住宅,满两年,共有,有抵押 110万元 公积金 客户偿还,已上传房本照片
北京海淀清缘里中区,4675,清缘里中区,海淀,479,64958,2室1厅1厨1卫,中楼层 (共10层),73.74,平层,50.59,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,2019/11/10,商品房,2013/4/28,普通住宅,满五年,非共有,有抵押 100万元 交通银行,已上传房本照片
北京石景山远洋山水,4676,远洋山水,石景山,950,71135,3室2厅1厨2卫,低楼层 (共26层),133.55,平层,104.01,板塔结合,东南,钢混结构,精装,两梯五户,集中供暖,有,70年,2019/5/25,商品房,2008/12/5,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台彩虹城四区,4677,彩虹城四区,丰台,535,60316,2室1厅1厨1卫,高楼层 (共16层),88.7,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,2019/11/16,商品房,2006/11/24,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴长丰园二区,4678,长丰园二区,大兴,312,40604,2室1厅1厨1卫,中楼层 (共7层),76.84,平层,67.22,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019/5/9,商品房,2012/6/21,普通住宅,满五年,共有,有抵押 70万元 工行 客户偿还,已上传房本照片
北京通州小街之春,4679,小街之春,通州,399,42862,3室1厅1厨1卫,中楼层 (共6层),93.09,平层,83.19,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019/11/20,商品房,2014/3/11,普通住宅,满五年,非共有,有抵押 280万元 廊坊银行,已上传房本照片
北京丰台草桥欣园四区,4680,草桥欣园四区,丰台,385,55142,1室1厅1厨1卫,低楼层 (共14层),69.82,平层,49.95,板楼,南 北,钢混结构,精装,四梯两户,集中供暖,有,70年,2019/3/3,商品房,2016/5/16,普通住宅,满两年,共有,有抵押 115万元 客户偿还,已上传房本照片
北京昌平旗胜家园,4681,旗胜家园,昌平,395,44912,2室1厅1厨1卫,高楼层 (共21层),87.95,平层,69.56,板塔结合,南,钢混结构,简装,两梯五户,自供暖,有,70年,2019/12/3,限价商品房,2010/8/4,普通住宅,满五年,非共有,有抵押 30万元 中国建设银行,已上传房本照片
北京房山天恒乐活城,4682,天恒乐活城,房山,223,25267,3室1厅1厨1卫,低楼层 (共18层),88.26,平层,72.38,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,2019/9/12,商品房,2016/9/8,普通住宅,满两年,非共有,有抵押 107万元 客户偿还,已上传房本照片
北京西城信德园,4683,信德园,西城,1200,81889,3室2厅1厨2卫,高楼层 (共21层),146.54,平层,121.36,塔楼,西南,钢混结构,精装,两梯八户,自供暖,有,70年,2019/4/20,商品房,2012/5/14,普通住宅,满五年,共有,无抵押,已上传房本照片
北京昌平保利罗兰香谷,4684,保利罗兰香谷,昌平,355,41721,2室1厅1厨1卫,底层 (共14层),85.09,平层,67.41,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,2019/9/18,商品房,2015/6/17,普通住宅,满两年,共有,有抵押 70万元 中国建设银行 客户偿还,已上传房本照片
北京房山徜徉嘉园8号院,4685,徜徉嘉园8号院,房山,618,45853,3室2厅1厨2卫,高楼层 (共15层),134.78,平层,104.56,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,2019/2/12,商品房,2017/4/27,普通住宅,满两年,共有,有抵押 210万元 银行 客户偿还,已上传房本照片
北京东城东四北大街,4686,东四北大街,东城,668,90959,2室1厅1厨1卫,中楼层 (共12层),73.44,平层,暂无数据,塔楼,东 西,钢混结构,简装,两梯四户,集中供暖,有,70年,2019/3/28,已购公房,1999/6/11,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京通州富力尚悦居,4687,富力尚悦居,通州,299,33797,2室1厅1厨1卫,低楼层 (共20层),88.47,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,2019/9/24,商品房,2017/8/9,普通住宅,满两年,共有,有抵押 120万元,已上传房本照片
北京门头沟向东楼小区,4688,向东楼小区,门头沟,225,37019,2室1厅1厨1卫,顶层 (共6层),60.78,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,2019/7/25,商品房,2017/4/20,普通住宅,满两年,非共有,暂无数据,已上传房本照片
北京朝阳金蝉南里,4689,金蝉南里,朝阳,299,53836,1室1厅1厨1卫,高楼层 (共20层),55.54,平层,45.47,塔楼,北,钢混结构,简装,三梯十户,集中供暖,有,70年,2019/12/3,二类经济适用房,2010/6/16,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山瑞雪春堂,4690,瑞雪春堂,房山,558,31188,3室2厅1厨2卫,底层 (共15层),178.92,平层,142.11,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2018/7/8,商品房,2018/2/6,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京朝阳珠江帝景博悦,4691,珠江帝景博悦,朝阳,1260,77976,3室2厅1厨3卫,顶层 (共15层),161.59,平层,130.89,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,2018/7/25,商品房,2013/12/30,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京顺义中铁花溪渡,4692,中铁花溪渡,顺义,515,38058,3室2厅1厨2卫,中楼层 (共6层),135.32,平层,107.89,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019/11/27,商品房,2015/6/4,普通住宅,满两年,非共有,有抵押 160万元 建行 客户偿还,已上传房本照片
北京海淀清上园,4693,清上园,海淀,705,68202,2室2厅1厨1卫,高楼层 (共6层),103.37,平层,90.48,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019/8/13,商品房,2005/9/21,普通住宅,满五年,共有,无抵押,已上传房本照片
北京通州果园235号院,4694,果园235号院,通州,320,42633,2室1厅1厨1卫,底层 (共6层),75.06,平层,75.06,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019/7/4,已购公房,2000/5/23,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京通州月亮河七星公馆,4695,月亮河七星公馆,通州,2650,80252,3室2厅1厨4卫,低楼层 (共10层),330.21,平层,274.31,板楼,南 西 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2018/1/4,商品房,2017/3/15,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京海淀韦伯豪家园,4696,韦伯豪家园,海淀,1400,92100,3室2厅1厨2卫,底层 (共17层),152.01,跃层,暂无数据,板塔结合,西南,钢混结构,简装,一梯四户,集中供暖,有,70年,2019/3/15,商品房,2009/7/14,普通住宅,满五年,共有,有抵押 50万元 建设银行,已上传房本照片
北京昌平龙腾苑四区,4697,龙腾苑四区,昌平,499,47601,3室1厅1厨1卫,底层 (共6层),104.83,平层,94.73,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,2019/5/11,一类经济适用房,2004/5/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京顺义裕龙四区,4698,裕龙四区,顺义,400,40963,3室1厅1厨1卫,中楼层 (共6层),97.65,平层,85.3,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/11/18,商品房,2009/5/27,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳团结湖中路南三条,4699,团结湖中路南三条,朝阳,277,73088,1室1厅1厨1卫,中楼层 (共6层),37.9,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,70年,2019/10/10,已购公房,1993/12/20,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京顺义鲁能7号院颐景润园,4700,鲁能7号院颐景润园,顺义,599,42077,3室2厅1厨2卫,中楼层 (共6层),142.36,平层,119.19,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,2019/11/22,商品房,2016/5/19,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京大兴兴华园,4701,兴华园,大兴,425,44276,2室1厅1厨1卫,低楼层 (共7层),95.99,平层,86.01,板楼,南,钢混结构,其他,一梯四户,集中供暖,有,70年,2018/7/18,商品房,2004/5/27,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山瑞雪春堂,4702,瑞雪春堂,房山,276,30447,2室1厅1厨2卫,底层 (共9层),90.65,平层,71,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,2019/10/26,商品房,2014/7/9,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀万景公寓,4703,万景公寓,海淀,1188,64841,3室2厅1厨2卫,低楼层 (共19层),183.22,平层,144.66,塔楼,西南,钢混结构,简装,两梯八户,自供暖,有,70年,2017/10/28,商品房,2009/9/17,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城万国城MOMA,4704,万国城MOMA,东城,1530,121439,2室2厅1厨2卫,高楼层 (共27层),125.99,平层,暂无数据,塔楼,西南,钢混结构,精装,四梯十二户,集中供暖,有,70年,2019/3/10,商品房,2015/11/4,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京通州中建红杉溪谷,4705,中建红杉溪谷,通州,1390,64017,5室2厅1厨3卫,中楼层 (共4层),217.13,复式,暂无数据,暂无数据,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019/1/15,商品房,2017/3/21,普通住宅,满两年,非共有,有抵押 130万元 130 客户偿还,已上传房本照片
北京西城平原里小区,4706,平原里小区,西城,510,106986,1室1厅1厨1卫,底层 (共9层),47.67,平层,暂无数据,板楼,东 西,钢混结构,其他,两梯两户,集中供暖,有,70年,2019/11/20,已购公房,2014/2/25,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京通州尚东庭,4707,尚东庭,通州,1149,52278,4室2厅1厨4卫,底层 (共3层),219.79,跃层,210.85,暂无数据,南 北,混合结构,精装,一梯八户,集中供暖,无,70年,2019/6/27,商品房,2007/8/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城绿景馨园,4708,绿景馨园,东城,668,94658,2室1厅1厨1卫,中楼层 (共6层),70.57,平层,63.22,板楼,南 北,钢混结构,简装,一梯四户,自供暖,无,70年,2018/12/9,二类经济适用房,2017/2/3,普通住宅,满两年,共有,无抵押,已上传房本照片
北京门头沟桃园小区,4709,桃园小区,门头沟,225,29977,2室1厅1厨1卫,低楼层 (共6层),75.06,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/11/10,商品房,2012/8/6,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京门头沟峪园小区,4710,峪园小区,门头沟,300,30103,2室1厅1厨1卫,高楼层 (共6层),99.66,平层,60.99,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018/11/29,已购公房,1999/11/4,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀今典花园,4711,今典花园,海淀,480,86674,1室1厅1厨1卫,低楼层 (共26层),55.38,平层,暂无数据,塔楼,南,钢混结构,精装,两梯十二户,集中供暖,有,70年,2019/11/18,已购公房,2002/11/14,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山御景山,4712,御景山,石景山,380,46173,1室1厅1厨1卫,低楼层 (共14层),82.3,平层,63.99,板塔结合,西,钢混结构,其他,两梯八户,集中供暖,有,70年,2019/12/1,商品房,2008/9/5,普通住宅,满五年,非共有,有抵押 6万元 工商银行 业主自还,已上传房本照片
北京门头沟矿建街268号院,4713,矿建街268号院,门头沟,199,32768,1室1厅1厨1卫,顶层 (共4层),60.73,平层,54.37,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,2019/3/8,二类经济适用房,2009/8/19,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城朝阳门内大街,4714,朝阳门内大街,东城,615,93994,3室1厅1厨1卫,高楼层 (共6层),65.43,平层,暂无数据,板楼,南 北 东,混合结构,简装,一梯三户,集中供暖,无,70年,2019/6/22,商品房,2017/7/3,普通住宅,满两年,共有,无抵押,已上传房本照片
北京海淀马连洼1号院,4715,马连洼1号院,海淀,509,127569,1室1厅1厨1卫,底层 (共6层),39.9,平层,暂无数据,板楼,南,混合结构,毛坯,一梯三户,集中供暖,无,70年,2019/8/31,已购公房,1994/7/7,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴幻星家园,4716,幻星家园,大兴,320,43914,1室1厅1厨1卫,中楼层 (共11层),72.87,平层,60.16,板塔结合,南,钢混结构,精装,一梯三户,集中供暖,有,70年,2019/4/21,商品房,2012/10/29,普通住宅,满五年,共有,有抵押 80万元 客户偿还,已上传房本照片
北京海淀海天中心,4717,海天中心,海淀,620,70168,2室1厅1厨1卫,顶层 (共21层),88.36,平层,74.68,塔楼,东,钢混结构,简装,两梯十户,集中供暖,有,70年,2018/8/26,商品房,2008/7/1,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京怀柔龙山新新小镇六期,4718,龙山新新小镇六期,怀柔,850,41014,4室2厅1厨3卫,底层 (共2层),207.25,复式,192.59,暂无数据,南 北,未知结构,精装,一梯一户,暂无数据,暂无数据,70年,2019/4/15,商品房,2015/7/22,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京昌平天通苑东一区,4719,天通苑东一区,昌平,570,28386,3室1厅1厨2卫,低楼层 (共33层),200.81,平层,170.14,塔楼,南 西,混合结构,精装,三梯八户,集中供暖,有,70年,2018/10/20,一类经济适用房,2006/6/19,普通住宅,满五年,非共有,有抵押 10万元 广发银行 业主自还,已上传房本照片
北京房山阳光邑上,4720,阳光邑上,房山,328,37689,2室1厅1厨1卫,低楼层 (共6层),87.03,平层,75.11,板楼,南 北,钢混结构,毛坯,一梯四户,自供暖,有,70年,2018/6/21,商品房,2013/7/9,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城小石桥胡同3号院,4721,小石桥胡同3号院,西城,940,159864,2室1厅1厨1卫,中楼层 (共5层),58.8,平层,41.25,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,2019/11/14,商品房,2007/3/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀碧水云天,4722,碧水云天,海淀,1600,137789,3室1厅1厨2卫,高楼层 (共16层),116.12,平层,98.89,塔楼,南 西北,钢混结构,简装,两梯七户,集中供暖,有,70年,2018/7/15,商品房,2005/10/10,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城右安门内西街,4723,右安门内西街,西城,700,95878,3室1厅1厨1卫,高楼层 (共6层),73.01,平层,55.49,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,2019/11/22,商品房,2016/5/30,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京昌平王府温馨公寓,4724,王府温馨公寓,昌平,463,26031,4室2厅1厨3卫,中楼层 (共6层),177.87,复式,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,2019/11/17,商品房,2002/11/12,普通住宅,满五年,非共有,有抵押 1万元 中国工商银行 业主自还,已上传房本照片
北京丰台怡海花园富泽园,4725,怡海花园富泽园,丰台,580,53894,3室2厅1厨2卫,高楼层 (共7层),107.62,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,2018/10/16,商品房,2002/5/13,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山加州水郡三期,4726,加州水郡三期,房山,425,30519,4室2厅1厨2卫,低楼层 (共12层),139.26,平层,113.61,板塔结合,南 西 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019/11/30,商品房,2011/12/30,普通住宅,满五年,非共有,有抵押 65万元 建设 客户偿还,已上传房本照片
北京昌平合立方,4727,合立方,昌平,355,48451,2室1厅1厨1卫,中楼层 (共21层),73.27,平层,55.9,塔楼,南,钢混结构,精装,三梯十三户,自供暖,有,70年,2019/11/16,限价商品房,2011/12/15,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京昌平蓬莱公寓东区,4728,蓬莱公寓东区,昌平,453,31417,3室2厅1厨3卫,中楼层 (共5层),144.19,错层,130.85,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2018/3/19,商品房,2009/9/8,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城车公庄中里,4729,车公庄中里,西城,660,94965,2室1厅1厨1卫,中楼层 (共4层),69.5,平层,50.59,板楼,南,混合结构,其他,一梯四户,集中供暖,无,70年,2019/12/4,已购公房,2004/6/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀涧桥泊屋,4730,涧桥泊屋,海淀,2300,133971,3室2厅1厨2卫,低楼层 (共14层),171.68,平层,143.23,板楼,南 北,钢混结构,简装,两梯两户,自供暖,有,70年,2018/1/22,私产,2004/9/8,普通住宅,满五年,非共有,有抵押 800万元 客户偿还,已上传房本照片
北京石景山依翠园,4731,依翠园,石景山,660,62978,2室1厅1厨1卫,高楼层 (共16层),104.8,平层,86.75,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019/9/14,商品房,2013/6/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京顺义中建国际城,4732,中建国际城,顺义,390,47660,2室1厅1厨1卫,中楼层 (共11层),81.83,平层,61.94,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2018/7/29,商品房,2016/6/22,普通住宅,满两年,非共有,有抵押 80万元 北京银行 客户偿还,已上传房本照片
北京房山国际花园,4733,国际花园,房山,520,40439,3室2厅1厨2卫,中楼层 (共18层),128.59,平层,103.88,板楼,东 南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,2019/10/27,商品房,2016/7/27,普通住宅,满两年,非共有,有抵押,已上传房本照片
北京丰台马家堡路29号院,4734,马家堡路29号院,丰台,302,53642,2室1厅1厨1卫,中楼层 (共6层),56.3,平层,40.7,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,2019/10/21,已购公房,2019/10/17,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京西城红居斜街,4735,红居斜街,西城,799,87629,3室1厅1厨1卫,顶层 (共6层),91.18,平层,61.38,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,2019/5/4,已购公房,2002/5/8,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台期颐百年,4736,期颐百年,丰台,457,50598,2室1厅1厨1卫,底层 (共6层),90.32,平层,76.43,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,2018/7/21,商品房,2013/11/11,普通住宅,满五年,非共有,有抵押 60万元 业主自还,已上传房本照片
北京昌平溪城家园,4737,溪城家园,昌平,390,48873,2室1厅1厨1卫,中楼层 (共15层),79.8,平层,61.61,板塔结合,南,钢混结构,简装,两梯五户,自供暖,有,70年,2019/11/26,限价商品房,2013/12/2,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京昌平石坊院,4738,石坊院,昌平,285,38117,1室1厅1厨1卫,中楼层 (共28层),74.77,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,2019/10/23,商品房,2017/6/13,普通住宅,满两年,非共有,有抵押 15万元 中国农业银行,已上传房本照片
北京大兴金色漫香林二期,4739,金色漫香林二期,大兴,425,46714,2室1厅1厨1卫,中楼层 (共7层),90.98,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019/3/28,商品房,2012/5/13,普通住宅,满五年,非共有,有抵押 50万元 公积金贷款 客户偿还,已上传房本照片
